variante,epoch,train_loss,px_max,px_mean,perfectas,leq1
lr=0.0003,0,0.6916840449639847,21,16.2812,0,0
lr=0.0003,50,0.6642003930760426,24,14.4688,0,0
lr=0.0003,100,0.6425585086528017,26,12.2812,0,0
lr=0.0003,150,0.621717936611667,29,10.875,0,0
lr=0.0003,200,0.6012937042872711,25,9.8438,0,0
lr=0.0003,250,0.5824990369542501,22,9.5625,0,0
lr=0.0003,300,0.5664867958831017,18,9.25,0,0
lr=0.0003,350,0.5531560575566485,18,9.5,0,0
lr=0.0003,400,0.5415311350108594,16,9.1875,0,0
lr=0.0003,450,0.5309163353616171,15,8.9375,0,0
lr=0.0003,500,0.5209843465025252,14,8.625,0,0
lr=0.0003,550,0.5115104790937437,13,8.4688,0,0
lr=0.0003,600,0.5023227461053961,13,7.9375,0,1
lr=0.0003,650,0.49342215535629064,13,7.5625,0,1
lr=0.0003,700,0.4849727374564256,13,7.4688,0,1
lr=0.0003,750,0.4771168587470015,13,7.3125,1,1
lr=0.0003,800,0.4698961808006254,13,7.3438,1,1
lr=0.0003,850,0.46328054346024145,15,7.2812,0,1
lr=0.0003,900,0.4571990691879355,15,7.2188,0,1
lr=0.0003,950,0.4515623925483819,15,7.25,0,1
lr=0.0003,1000,0.4462801568108442,15,7.2812,0,1
lr=0.0003,1050,0.44127203152992905,15,7.1875,0,2
lr=0.0003,1100,0.4364728836177956,14,7.2188,0,2
lr=0.0003,1150,0.4318343813694011,14,7.2188,0,1
lr=0.0003,1200,0.42732405725324957,14,7.0312,0,1
lr=0.0003,1250,0.42292223821204294,14,7.0,0,1
lr=0.0003,1300,0.4186181062200456,14,6.9062,0,1
lr=0.0003,1350,0.4144063181472796,14,6.7812,0,1
lr=0.0003,1400,0.41028463753262706,13,6.625,0,1
lr=0.0003,1450,0.40625226297885686,11,6.5,0,1
lr=0.0003,1500,0.4023084628030763,11,6.5,0,1
lr=0.0003,1550,0.39845137685450205,11,6.4688,0,1
lr=0.0003,1600,0.39467710690122765,11,6.4375,0,1
lr=0.0003,1650,0.39097929770420536,11,6.375,0,1
lr=0.0003,1700,0.3873492656015072,11,6.4062,0,1
lr=0.0003,1750,0.38377651919555267,11,6.1875,0,1
lr=0.0003,1800,0.3802494333093227,11,5.9062,0,2
lr=0.0003,1850,0.3767559146758872,11,5.9062,1,2
lr=0.0003,1900,0.37328402578250147,11,5.6875,1,3
lr=0.0003,1950,0.36982261496444696,10,5.5938,1,3
lr=0.0003,2000,0.3663619997864675,10,5.5625,1,3
lr=0.0003,2050,0.3628946298204741,10,5.5625,1,3
lr=0.0003,2100,0.3594154688057251,10,5.4062,1,3
lr=0.0003,2150,0.35592192704939213,9,5.3438,1,3
lr=0.0003,2200,0.35241373630091416,9,5.25,2,3
lr=0.0003,2250,0.3488934578487255,9,5.0938,2,3
lr=0.0003,2300,0.34536729617333584,9,5.0,2,3
lr=0.0003,2350,0.3418441959152617,9,4.9375,2,3
lr=0.0003,2400,0.3383325641917673,9,4.7812,2,3
lr=0.0003,2450,0.33483744067227245,9,4.6562,2,4
lr=0.0003,2500,0.3313585723559955,9,4.5625,2,4
lr=0.0003,2550,0.32788425823935174,9,4.4688,2,5
lr=0.0003,2600,0.3243803897555215,9,4.4375,1,5
lr=0.0003,2650,0.32082632244351245,8,4.3438,1,5
lr=0.0003,2700,0.3172706955655107,8,4.2812,2,5
lr=0.0003,2750,0.3137560015338759,8,4.25,1,5
lr=0.0003,2800,0.3102923929179532,8,4.1562,1,6
lr=0.0003,2850,0.30688030351086437,8,4.0938,1,6
lr=0.0003,2900,0.30351873229828313,8,4.0938,1,6
lr=0.0003,2950,0.30020669082811596,8,4.0938,1,6
lr=0.0003,3000,0.2969433328229427,8,3.9062,1,7
lr=0.0003,3050,0.29372783508578504,8,3.9062,1,7
lr=0.0003,3100,0.2905592664861742,8,3.8438,1,7
lr=0.0003,3150,0.28743650642975127,9,3.8438,1,7
lr=0.0003,3200,0.2843582178170769,8,3.7812,1,7
lr=0.0003,3250,0.2813228611491744,8,3.75,1,7
lr=0.0003,3300,0.278328731836314,8,3.75,1,7
lr=0.0003,3350,0.2753740044338553,10,3.75,1,7
lr=0.0003,3400,0.2724567725711209,9,3.6562,1,8
lr=0.0003,3450,0.26957507958771254,8,3.625,1,8
lr=0.0003,3500,0.2667269404583896,8,3.4375,3,8
lr=0.0003,3550,0.26391035940700974,8,3.375,3,9
lr=0.0003,3600,0.2611233500103429,8,3.2812,3,9
lr=0.0003,3650,0.2583639671203016,8,3.25,3,9
lr=0.0003,3700,0.25563036390561256,8,3.25,3,9
lr=0.0003,3750,0.25292089145048086,8,3.1875,4,9
lr=0.0003,3800,0.2502342559320009,8,3.1875,4,8
lr=0.0003,3850,0.2475697233381708,8,3.0625,4,9
lr=0.0003,3900,0.24492729515257863,8,3.0625,3,9
lr=0.0003,3950,0.24230770591433226,7,3.0312,3,9
lr=0.0003,4000,0.23971215505211932,7,3.0,3,9
lr=0.0003,4050,0.23714191395908313,7,2.9062,3,10
lr=0.0003,4100,0.2345980601258684,7,2.875,3,10
lr=0.0003,4150,0.23208142854756766,7,2.8125,3,11
lr=0.0003,4200,0.22959268953738804,7,2.7812,3,11
lr=0.0003,4250,0.2271324393198476,7,2.7812,3,11
lr=0.0003,4300,0.2247012508636393,7,2.75,3,12
lr=0.0003,4350,0.2222996828732548,7,2.6875,3,12
lr=0.0003,4400,0.21992826323787915,7,2.7188,3,12
lr=0.0003,4450,0.21758746258096312,6,2.5938,5,12
lr=0.0003,4500,0.21527766759620132,6,2.5625,5,12
lr=0.0003,4550,0.212999158746093,6,2.5312,5,12
lr=0.0003,4600,0.2107520938321811,6,2.4688,6,12
lr=0.0003,4650,0.20853649753028589,6,2.4062,6,13
lr=0.0003,4700,0.20635225675783447,6,2.375,6,14
