variante,epoch,train_loss,px_max,px_mean,perfectas,leq1
tanh,0,0.6730575087755672,24,14.9688,0,0
tanh,50,0.44816732577531326,12,7.7188,0,0
tanh,100,0.3562941725024513,11,5.875,0,1
tanh,150,0.2879327761251421,9,4.25,2,5
tanh,200,0.22837542780105474,9,3.0312,5,10
tanh,250,0.18497044634560872,8,2.3125,8,17
tanh,300,0.15304269808202275,7,1.5938,14,19
tanh,350,0.12426827889269261,7,1.0625,15,24
tanh,400,0.0983406174453609,7,0.5938,22,28
tanh,450,0.08154850856922417,4,0.4062,26,28
tanh,500,0.07041259663636942,5,0.3438,27,29
tanh,550,0.05993193595272496,4,0.2812,28,29
tanh,600,0.05253156255947957,2,0.1875,28,30
tanh,650,0.04590575768836804,2,0.125,29,31
tanh,700,0.04043087922475295,2,0.0938,30,31
tanh,750,0.03585501080265107,2,0.0625,31,31
tanh,800,0.03188863028161086,2,0.0625,31,31
tanh,850,0.028929341446931087,2,0.0625,31,31
tanh,900,0.03173136374314705,1,0.0625,30,32
tanh,950,0.024212697736294586,2,0.0625,31,31
tanh,1000,0.021922170525942246,0,0.0,32,32
tanh,1050,0.01994516706645427,0,0.0,32,32
tanh,1100,0.018211344128153183,0,0.0,32,32
tanh,1150,0.01672755786564432,0,0.0,32,32
tanh,1200,0.015438976969242277,0,0.0,32,32
tanh,1250,0.014311251844217976,0,0.0,32,32
tanh,1300,0.013317544619511694,0,0.0,32,32
tanh,1350,0.012436005701423723,0,0.0,32,32
tanh,1400,0.011648970634113269,0,0.0,32,32
tanh,1450,0.010942189211745773,0,0.0,32,32
tanh,1500,0.01030414510516886,0,0.0,32,32
tanh,1550,0.009725467642842659,0,0.0,32,32
tanh,1600,0.009198453205153157,0,0.0,32,32
tanh,1650,0.008716698502345903,0,0.0,32,32
tanh,1700,0.008274826742788406,0,0.0,32,32
tanh,1750,0.007868282880955589,0,0.0,32,32
tanh,1800,0.0074931783733664424,0,0.0,32,32
tanh,1850,0.007146171435475736,0,0.0,32,32
tanh,1900,0.006824373164837495,0,0.0,32,32
tanh,1950,0.006525272894866527,0,0.0,32,32
tanh,2000,0.006246678127506071,0,0.0,32,32
tanh,2050,0.0059866657090985485,0,0.0,32,32
tanh,2100,0.005743541803161784,0,0.0,32,32
tanh,2150,0.0055158088296544715,0,0.0,32,32
tanh,2200,0.005302137977486621,0,0.0,32,32
tanh,2250,0.005101346214474766,0,0.0,32,32
tanh,2300,0.004912376954074759,0,0.0,32,32
tanh,2350,0.004734283715325811,0,0.0,32,32
tanh,2400,0.0045662162477195095,0,0.0,32,32
tanh,2450,0.004407408697249631,0,0.0,32,32
tanh,2500,0.00425716947149321,0,0.0,32,32
tanh,2550,0.0041148725257902944,0,0.0,32,32
tanh,2600,0.003979949843498947,0,0.0,32,32
tanh,2650,0.003851884923927802,0,0.0,32,32
tanh,2700,0.0037302071241557245,0,0.0,32,32
tanh,2750,0.0036144867272546724,0,0.0,32,32
tanh,2800,0.0035043306307693013,0,0.0,32,32
tanh,2850,0.003399378566690969,0,0.0,32,32
tanh,2900,0.0032992997783951664,0,0.0,32,32
