variante,epoch,train_loss,px_max,px_mean,perfectas,leq1
no_lineal,0,0.6856161436388485,22,15.6562,0,0
no_lineal,50,0.5842196115915457,21,9.7812,0,0
no_lineal,100,0.542602656930471,18,9.2812,0,0
no_lineal,150,0.5199537325032131,14,8.8125,0,0
no_lineal,200,0.5046382710307885,15,8.4375,0,0
no_lineal,250,0.4918129679262299,13,8.125,0,0
no_lineal,300,0.47999862939359345,13,7.8125,0,0
no_lineal,350,0.46867419053911,14,7.6875,0,0
no_lineal,400,0.45813922215153097,14,7.6875,0,0
no_lineal,450,0.4488734014506896,14,7.5312,0,0
no_lineal,500,0.44082477407172105,15,7.4375,0,1
no_lineal,550,0.43359429877709843,15,7.25,0,1
no_lineal,600,0.42672211063833715,16,7.1875,0,0
no_lineal,650,0.4198460249636571,16,7.0312,0,0
no_lineal,700,0.41289727312523833,16,6.8125,0,0
no_lineal,750,0.40629122661720174,15,6.5312,0,0
no_lineal,800,0.4000730039162409,15,6.5,0,0
no_lineal,850,0.3941191184352964,15,6.3438,0,1
no_lineal,900,0.38838301601423897,15,6.0625,0,1
no_lineal,950,0.3828578710295043,13,5.9062,1,1
no_lineal,1000,0.3775470106722987,13,5.8125,1,1
no_lineal,1050,0.3724418766199215,11,5.7188,1,1
no_lineal,1100,0.36752218109605167,11,5.4688,1,1
no_lineal,1150,0.3662414438287154,11,5.5938,1,1
no_lineal,1200,0.36007710711061813,11,5.4688,1,1
no_lineal,1250,0.3553630438499604,11,5.3438,1,1
no_lineal,1300,0.3508861968974617,11,5.25,1,1
no_lineal,1350,0.3465297529921228,11,5.125,1,2
no_lineal,1400,0.342261473781993,10,5.0312,1,2
no_lineal,1450,0.3380586869243573,10,4.9375,1,2
no_lineal,1500,0.33389635362187003,10,4.7188,1,3
no_lineal,1550,0.32975077442749157,10,4.6562,1,3
no_lineal,1600,0.32560642255048305,10,4.625,1,3
no_lineal,1650,0.32145556405528514,10,4.5312,1,4
no_lineal,1700,0.3172963020881054,10,4.5625,1,4
no_lineal,1750,0.31313140027720393,9,4.5312,1,4
no_lineal,1800,0.3089647921673495,9,4.4375,1,3
no_lineal,1850,0.30479607359341276,9,4.4375,1,3
no_lineal,1900,0.30062294334056155,9,4.4062,1,3
no_lineal,1950,0.29651329587008773,9,4.4062,1,3
no_lineal,2000,0.29265119878005,9,4.4375,1,3
