variante,epoch,train_loss,px_max,px_mean,perfectas,leq1
sgd(0.5),0,0.6856161436388485,22,15.6562,0,0
sgd(0.5),50,0.5842196115915457,21,9.7812,0,0
sgd(0.5),100,0.542602656930471,18,9.2812,0,0
sgd(0.5),150,0.5199537325032131,14,8.8125,0,0
sgd(0.5),200,0.5046382710307885,15,8.4375,0,0
sgd(0.5),250,0.4918129679262299,13,8.125,0,0
sgd(0.5),300,0.47999862939359345,13,7.8125,0,0
sgd(0.5),350,0.46867419053911,14,7.6875,0,0
sgd(0.5),400,0.45813922215153097,14,7.6875,0,0
sgd(0.5),450,0.4488734014506896,14,7.5312,0,0
sgd(0.5),500,0.44082477407172105,15,7.4375,0,1
sgd(0.5),550,0.43359429877709843,15,7.25,0,1
sgd(0.5),600,0.42672211063833715,16,7.1875,0,0
sgd(0.5),650,0.4198460249636571,16,7.0312,0,0
sgd(0.5),700,0.41289727312523833,16,6.8125,0,0
sgd(0.5),750,0.40629122661720174,15,6.5312,0,0
sgd(0.5),800,0.4000730039162409,15,6.5,0,0
sgd(0.5),850,0.3941191184352964,15,6.3438,0,1
sgd(0.5),900,0.38838301601423897,15,6.0625,0,1
sgd(0.5),950,0.3828578710295043,13,5.9062,1,1
sgd(0.5),1000,0.3775470106722987,13,5.8125,1,1
sgd(0.5),1050,0.3724418766199215,11,5.7188,1,1
sgd(0.5),1100,0.36752218109605167,11,5.4688,1,1
sgd(0.5),1150,0.3662414438287154,11,5.5938,1,1
sgd(0.5),1200,0.36007710711061813,11,5.4688,1,1
sgd(0.5),1250,0.3553630438499604,11,5.3438,1,1
sgd(0.5),1300,0.3508861968974617,11,5.25,1,1
sgd(0.5),1350,0.3465297529921228,11,5.125,1,2
sgd(0.5),1400,0.342261473781993,10,5.0312,1,2
sgd(0.5),1450,0.3380586869243573,10,4.9375,1,2
sgd(0.5),1500,0.33389635362187003,10,4.7188,1,3
sgd(0.5),1550,0.32975077442749157,10,4.6562,1,3
sgd(0.5),1600,0.32560642255048305,10,4.625,1,3
sgd(0.5),1650,0.32145556405528514,10,4.5312,1,4
sgd(0.5),1700,0.3172963020881054,10,4.5625,1,4
sgd(0.5),1750,0.31313140027720393,9,4.5312,1,4
sgd(0.5),1800,0.3089647921673495,9,4.4375,1,3
sgd(0.5),1850,0.30479607359341276,9,4.4375,1,3
sgd(0.5),1900,0.30062294334056155,9,4.4062,1,3
sgd(0.5),1950,0.29651329587008773,9,4.4062,1,3
sgd(0.5),2000,0.29265119878005,9,4.4375,1,3
sgd(0.5),2050,0.28853506889834507,9,4.2812,1,3
sgd(0.5),2100,0.2845011390567221,8,4.25,1,3
sgd(0.5),2150,0.2805947717032525,7,4.1562,1,3
sgd(0.5),2200,0.27680702804383167,7,4.0625,1,3
sgd(0.5),2250,0.2731278907379035,7,4.0938,1,3
sgd(0.5),2300,0.26955010381745237,7,4.0,1,3
